exp,algo,scale,hostname,recv_drop,recv_errs,recv_packets,send_bytes,send_drop,send_errs,send_packets,timestamp
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4689,37052006,0,0,5108,1.513125532595671E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4694,28097095,0,0,5170,1.513125532596719E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4300,26037434,0,0,4638,1.513125532598765E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4534,28070378,0,0,4987,1.51312553260041E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5382,34287493,0,0,5379,1.513125532605745E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4060,23693507,0,0,4632,1.513125532607097E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5189,43378795,0,0,5450,1.513125537595827E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,5061,33413165,0,0,5578,1.513125537597844E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,5458,31844316,0,0,6034,1.513125537599715E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4462,33797123,0,0,4993,1.513125537604364E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4673,33386173,0,0,5109,1.513125537605966E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5549,38532225,0,0,5700,1.513125537611323E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4293,33194792,0,0,4656,1.513125537612648E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,4630,28124895,0,0,4966,1.513125542601249E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,5275,30290366,0,0,5608,1.51312554260143E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,4684,37117178,0,0,5141,1.513125542602561E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,4341,28027267,0,0,4588,1.51312554260852E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,4346,26139308,0,0,4695,1.513125542609873E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,5289,34259893,0,0,5350,1.513125542613538E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,4073,23950662,0,0,4608,1.513125542616144E9
exp1,als,bigdata,cluster-cin-w-2.c.spark-186801.internal,0,0,7793,50801764,0,0,8647,1.513125547605287E9
exp1,als,bigdata,cluster-cin-w-4.c.spark-186801.internal,0,0,7709,64649172,0,0,8200,1.513125547605666E9
exp1,als,bigdata,cluster-cin-w-5.c.spark-186801.internal,0,0,7482,56645218,0,0,8724,1.513125547607838E9
exp1,als,bigdata,cluster-cin-w-1.c.spark-186801.internal,0,0,6985,51966969,0,0,7582,1.513125547614158E9
exp1,als,bigdata,cluster-cin-w-6.c.spark-186801.internal,0,0,6552,51004136,0,0,7606,1.513125547615432E9
exp1,als,bigdata,cluster-cin-w-3.c.spark-186801.internal,0,0,7931,61922012,0,0,8221,1.513125547617532E9
exp1,als,bigdata,cluster-cin-w-0.c.spark-186801.internal,0,0,6339,48373827,0,0,6985,1.513125547620246E9
